start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772633274.186054,1772633277.186054,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772633277.186054,1772633280.186054,22,2898,2,2,0,0,131.72727272727272,11,1314,119.45454545454545,1
1772633280.186054,1772633283.186054,18,2385,2,2,0,0,132.5,9,1089,121.0,1
1772633283.186054,1772633286.186054,18,2215,2,2,0,0,123.05555555555556,8,967,120.875,1
1772633286.186054,1772633289.186054,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772633289.186054,1772633292.186054,20,2640,2,2,0,0,132.0,10,1200,120.0,1
1772633292.186054,1772633295.186054,26,3036,2,2,0,0,116.76923076923077,12,1212,101.0,2
1772633295.186054,1772633298.186054,13,1759,2,2,0,0,135.30769230769232,6,847,141.16666666666666,1
1772633298.186054,1772633301.186054,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772633301.186054,1772633304.186054,18,2374,2,2,0,0,131.88888888888889,9,1078,119.77777777777777,1
1772633304.186054,1772633307.186054,20,2646,2,2,0,0,132.3,10,1206,120.6,1
1772633307.186054,1772633310.186054,18,2378,2,2,0,0,132.11111111111111,9,1082,120.22222222222223,1
1772633310.186054,1772633313.186054,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772633313.186054,1772633316.186054,20,2639,2,2,0,0,131.95,10,1199,119.9,1
1772633316.186054,1772633319.186054,20,2480,2,2,0,0,124.0,9,1088,120.88888888888889,1
1772633319.186054,1772633322.186054,16,2118,2,2,0,0,132.375,8,966,120.75,1
1772633322.186054,1772633325.186054,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772633325.186054,1772633328.186054,18,2374,2,2,0,0,131.88888888888889,9,1078,119.77777777777777,1
1772633328.186054,1772633331.186054,20,2649,2,2,0,0,132.45,10,1209,120.9,1
1772633331.186054,1772633334.186054,14,1853,2,2,0,0,132.35714285714286,7,845,120.71428571428571,1
1772633334.186054,1772633337.186054,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772633337.186054,1772633340.186054,6,795,2,2,0,0,132.5,3,363,121.0,1
