start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772638216.427801,1772638219.427801,20,2649,2,2,0,0,132.45,10,1209,120.9,1
1772638219.427801,1772638222.427801,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1772638222.427801,1772638225.427801,28,3529,2,2,0,0,126.03571428571429,13,1561,120.07692307692308,1
1772638225.427801,1772638228.427801,16,1781,2,2,0,0,111.3125,6,725,120.83333333333333,1
1772638228.427801,1772638231.427801,24,3172,2,2,0,0,132.16666666666666,12,1444,120.33333333333333,1
1772638231.427801,1772638234.427801,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638234.427801,1772638237.427801,26,3435,2,2,0,0,132.1153846153846,13,1563,120.23076923076923,1
1772638237.427801,1772638240.427801,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638240.427801,1772638243.427801,22,2745,2,2,0,0,124.77272727272727,10,1209,120.9,1
1772638243.427801,1772638246.427801,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1772638246.427801,1772638249.427801,24,3167,2,2,0,0,131.95833333333334,12,1439,119.91666666666667,1
1772638249.427801,1772638252.427801,17,1997,2,2,0,0,117.47058823529412,7,845,120.71428571428571,1
1772638252.427801,1772638255.427801,22,2912,2,2,0,0,132.36363636363637,11,1328,120.72727272727273,1
1772638255.427801,1772638258.427801,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638258.427801,1772638261.427801,28,3693,2,2,0,0,131.89285714285714,14,1677,119.78571428571429,1
1772638261.427801,1772638264.427801,12,1590,2,2,0,0,132.5,6,726,121.0,1
1772638264.427801,1772638267.427801,22,2915,2,2,0,0,132.5,11,1331,121.0,1
1772638267.427801,1772638270.427801,18,2215,2,2,0,0,123.05555555555556,8,967,120.875,1
1772638270.427801,1772638273.427801,24,3170,2,2,0,0,132.08333333333334,12,1442,120.16666666666667,1
1772638273.427801,1772638276.427801,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638276.427801,1772638279.427801,20,2650,2,2,0,0,132.5,10,1210,121.0,1
1772638279.427801,1772638282.427801,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1772638282.427801,1772638285.427801,26,3431,2,2,0,0,131.96153846153845,13,1559,119.92307692307692,1
1772638285.427801,1772638288.427801,12,1588,2,2,0,0,132.33333333333334,6,724,120.66666666666667,1
1772638288.427801,1772638291.427801,24,3173,2,2,0,0,132.20833333333334,12,1445,120.41666666666667,1
1772638291.427801,1772638294.427801,16,1951,2,2,0,0,121.9375,7,847,121.0,1
1772638294.427801,1772638297.427801,26,3432,2,2,0,0,132.0,13,1560,120.0,1
1772638297.427801,1772638300.427801,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638300.427801,1772638303.427801,20,2649,2,2,0,0,132.45,10,1209,120.9,1
1772638303.427801,1772638306.427801,16,2120,2,2,0,0,132.5,8,968,121.0,1
1772638306.427801,1772638309.427801,24,3169,2,2,0,0,132.04166666666666,12,1441,120.08333333333333,1
1772638309.427801,1772638312.427801,14,1852,2,2,0,0,132.28571428571428,7,844,120.57142857142857,1
1772638312.427801,1772638315.427801,22,2912,2,2,0,0,132.36363636363637,11,1328,120.72727272727273,1
1772638315.427801,1772638318.427801,16,1949,2,2,0,0,121.8125,7,845,120.71428571428571,1
