start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772634512.208701,1772634515.208701,22,2915,2,2,0,0,132.5,11,1331,121.0,1
1772634515.208701,1772634518.208701,18,2373,2,2,0,0,131.83333333333334,9,1077,119.66666666666667,1
1772634518.208701,1772634521.208701,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772634521.208701,1772634524.208701,12,1590,2,2,0,0,132.5,6,726,121.0,1
1772634524.208701,1772634527.208701,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634527.208701,1772634530.208701,20,2638,2,2,0,0,131.9,10,1198,119.8,1
1772634530.208701,1772634533.208701,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1772634533.208701,1772634536.208701,15,1902,2,2,0,0,126.8,7,846,120.85714285714286,1
1772634536.208701,1772634539.208701,22,2744,2,2,0,0,124.72727272727273,10,1208,120.8,1
1772634539.208701,1772634542.208701,24,2996,2,2,0,0,124.83333333333333,11,1316,119.63636363636364,1
1772634542.208701,1772634545.208701,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634545.208701,1772634548.208701,12,1590,2,2,0,0,132.5,6,726,121.0,1
1772634548.208701,1772634551.208701,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634551.208701,1772634554.208701,18,2374,2,2,0,0,131.88888888888889,9,1078,119.77777777777777,1
1772634554.208701,1772634557.208701,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634557.208701,1772634560.208701,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772634560.208701,1772634563.208701,20,2645,2,2,0,0,132.25,10,1205,120.5,1
1772634563.208701,1772634566.208701,20,2637,2,2,0,0,131.85,10,1197,119.7,1
1772634566.208701,1772634569.208701,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772634569.208701,1772634572.208701,16,2113,2,2,0,0,132.0625,8,961,120.125,1
1772634572.208701,1772634575.208701,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634575.208701,1772634578.208701,21,2518,2,2,0,0,119.9047619047619,9,1078,119.77777777777777,1
1772634578.208701,1772634581.208701,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772634581.208701,1772634584.208701,14,1685,2,2,0,0,120.35714285714286,6,725,120.83333333333333,1
1772634584.208701,1772634587.208701,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772634587.208701,1772634590.208701,20,2638,2,2,0,0,131.9,10,1198,119.8,1
1772634590.208701,1772634593.208701,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1772634593.208701,1772634596.208701,15,1902,2,2,0,0,126.8,7,846,120.85714285714286,1
1772634596.208701,1772634599.208701,22,2743,2,2,0,0,124.68181818181819,10,1207,120.7,1
1772634599.208701,1772634602.208701,22,2897,2,2,0,0,131.6818181818182,11,1313,119.36363636363636,1
1772634602.208701,1772634605.208701,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772634605.208701,1772634608.208701,12,1589,2,2,0,0,132.41666666666666,6,725,120.83333333333333,1
1772634608.208701,1772634611.208701,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772634611.208701,1772634614.208701,18,2373,2,2,0,0,131.83333333333334,9,1077,119.66666666666667,1
1772634614.208701,1772634617.208701,24,3063,2,2,0,0,127.625,12,1335,111.25,2
1772634617.208701,1772634620.208701,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772634620.208701,1772634623.208701,26,2935,2,2,0,0,112.88461538461539,10,1207,120.7,1
1772634623.208701,1772634626.208701,20,2638,2,2,0,0,131.9,10,1198,119.8,1
1772634626.208701,1772634629.208701,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772634629.208701,1772634632.208701,16,2114,2,2,0,0,132.125,8,962,120.25,1
1772634632.208701,1772634635.208701,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634635.208701,1772634638.208701,20,2470,2,2,0,0,123.5,9,1078,119.77777777777777,1
1772634638.208701,1772634641.208701,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634641.208701,1772634644.208701,12,1590,2,2,0,0,132.5,6,726,121.0,1
1772634644.208701,1772634647.208701,24,3010,2,2,0,0,125.41666666666667,11,1330,120.9090909090909,1
1772634647.208701,1772634650.208701,21,2685,2,2,0,0,127.85714285714286,10,1197,119.7,1
1772634650.208701,1772634653.208701,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1772634653.208701,1772634656.208701,14,1853,2,2,0,0,132.35714285714286,7,845,120.71428571428571,1
1772634656.208701,1772634659.208701,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772634659.208701,1772634662.208701,24,2995,2,2,0,0,124.79166666666667,11,1315,119.54545454545455,1
1772634662.208701,1772634665.208701,22,2912,2,2,0,0,132.36363636363637,11,1328,120.72727272727273,1
1772634665.208701,1772634668.208701,12,1588,2,2,0,0,132.33333333333334,6,724,120.66666666666667,1
1772634668.208701,1772634671.208701,22,2915,2,2,0,0,132.5,11,1331,121.0,1
1772634671.208701,1772634674.208701,18,2374,2,2,0,0,131.88888888888889,9,1078,119.77777777777777,1
1772634674.208701,1772634677.208701,22,2915,2,2,0,0,132.5,11,1331,121.0,1
1772634677.208701,1772634680.208701,16,1951,2,2,0,0,121.9375,7,847,121.0,1
1772634680.208701,1772634683.208701,20,2643,2,2,0,0,132.15,10,1203,120.3,1
1772634683.208701,1772634686.208701,20,2639,2,2,0,0,131.95,10,1199,119.9,1
1772634686.208701,1772634689.208701,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772634689.208701,1772634692.208701,16,2114,2,2,0,0,132.125,8,962,120.25,1
1772634692.208701,1772634695.208701,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772634695.208701,1772634698.208701,18,2374,2,2,0,0,131.88888888888889,9,1078,119.77777777777777,1
1772634698.208701,1772634701.208701,24,3011,2,2,0,0,125.45833333333333,11,1331,121.0,1
1772634701.208701,1772634704.208701,12,1590,2,2,0,0,132.5,6,726,121.0,1
1772634704.208701,1772634707.208701,22,2912,2,2,0,0,132.36363636363637,11,1328,120.72727272727273,1
