start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772634885.169223,1772634888.169223,18,2374,2,2,0,0,131.88888888888889,9,1078,119.77777777777777,1
1772634888.169223,1772634891.169223,22,2912,2,2,0,0,132.36363636363637,11,1328,120.72727272727273,1
1772634891.169223,1772634894.169223,14,1853,2,2,0,0,132.35714285714286,7,845,120.71428571428571,1
1772634894.169223,1772634897.169223,24,3009,2,2,0,0,125.375,11,1329,120.81818181818181,1
1772634897.169223,1772634900.169223,18,2369,2,2,0,0,131.61111111111111,9,1073,119.22222222222223,1
1772634900.169223,1772634903.169223,25,3059,2,2,0,0,122.36,11,1331,121.0,1
1772634903.169223,1772634906.169223,16,2118,2,2,0,0,132.375,8,966,120.75,1
1772634906.169223,1772634909.169223,20,2649,2,2,0,0,132.45,10,1209,120.9,1
1772634909.169223,1772634912.169223,18,2373,2,2,0,0,131.83333333333334,9,1077,119.66666666666667,1
1772634912.169223,1772634915.169223,20,2649,2,2,0,0,132.45,10,1209,120.9,1
1772634915.169223,1772634918.169223,18,2216,2,2,0,0,123.11111111111111,8,968,121.0,1
1772634918.169223,1772634921.169223,22,2912,2,2,0,0,132.36363636363637,11,1328,120.72727272727273,1
1772634921.169223,1772634924.169223,16,2108,2,2,0,0,131.75,8,956,119.5,1
1772634924.169223,1772634927.169223,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772634927.169223,1772634930.169223,16,2112,2,2,0,0,132.0,8,960,120.0,1
1772634930.169223,1772634933.169223,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772634933.169223,1772634936.169223,18,2373,2,2,0,0,131.83333333333334,9,1077,119.66666666666667,1
1772634936.169223,1772634939.169223,20,2650,2,2,0,0,132.5,10,1210,121.0,1
1772634939.169223,1772634942.169223,16,2118,2,2,0,0,132.375,8,966,120.75,1
1772634942.169223,1772634945.169223,20,2649,2,2,0,0,132.45,10,1209,120.9,1
1772634945.169223,1772634948.169223,18,2374,2,2,0,0,131.88888888888889,9,1078,119.77777777777777,1
1772634948.169223,1772634951.169223,14,1855,2,2,0,0,132.5,7,847,121.0,1
