start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len
1772625834.830349,1772625844.830349,60,7938,2,2,0,0,132.3
1772625844.830349,1772625854.830349,77,9524,2,2,0,0,123.68831168831169
1772625854.830349,1772625864.830349,65,8338,2,2,0,0,128.27692307692308
1772625864.830349,1772625874.830349,62,8201,2,2,0,0,132.2741935483871
1772625874.830349,1772625884.830349,68,8824,2,2,0,0,129.76470588235293
1772625884.830349,1772625894.830349,60,7942,2,2,0,0,132.36666666666667
1772625894.830349,1772625904.830349,23,3095,2,2,0,0,134.56521739130434
