protocol,eps,replaced,precision_before,recall_before,f1_before,precision_after,recall_after,f1_after,precision_after_cm,recall_after_cm,f1_after_cm
mqtt,0.015,35,0.9722222222222222,1.0,0.9859154929577465,0.8,0.11428571428571428,0.2,0.8,0.11428571428571428,0.2
mqtt,0.018,35,0.9722222222222222,1.0,0.9859154929577465,0.8,0.11428571428571428,0.2,0.8,0.11428571428571428,0.2
mqtt,0.021,35,0.9722222222222222,1.0,0.9859154929577465,0.8,0.11428571428571428,0.2,0.8,0.11428571428571428,0.2
mqtt,0.024,35,0.9722222222222222,1.0,0.9859154929577465,0.8,0.11428571428571428,0.2,0.8,0.11428571428571428,0.2
mqtt,0.027,35,0.9722222222222222,1.0,0.9859154929577465,0.8,0.11428571428571428,0.2,0.8,0.11428571428571428,0.2
mqtt,0.03,35,0.9722222222222222,1.0,0.9859154929577465,0.8,0.11428571428571428,0.2,0.8,0.11428571428571428,0.2
modbus,0.015,36,0.972972972972973,1.0,0.9863013698630136,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.6666666666666666,0.05555555555555555,0.10256410256410256
modbus,0.018,36,0.972972972972973,1.0,0.9863013698630136,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.6666666666666666,0.05555555555555555,0.10256410256410256
modbus,0.021,36,0.972972972972973,1.0,0.9863013698630136,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.6666666666666666,0.05555555555555555,0.10256410256410256
modbus,0.024,36,0.972972972972973,1.0,0.9863013698630136,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.6666666666666666,0.05555555555555555,0.10256410256410256
modbus,0.027,36,0.972972972972973,1.0,0.9863013698630136,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.6666666666666666,0.05555555555555555,0.10256410256410256
modbus,0.03,36,0.972972972972973,1.0,0.9863013698630136,0.6666666666666666,0.05555555555555555,0.10256410256410256,0.6666666666666666,0.05555555555555555,0.10256410256410256
other,0.015,24,0.96,1.0,0.9795918367346939,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.6666666666666666,0.08333333333333333,0.14814814814814814
other,0.018,24,0.96,1.0,0.9795918367346939,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.6666666666666666,0.08333333333333333,0.14814814814814814
other,0.021,24,0.96,1.0,0.9795918367346939,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.6666666666666666,0.08333333333333333,0.14814814814814814
other,0.024,24,0.96,1.0,0.9795918367346939,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.6666666666666666,0.08333333333333333,0.14814814814814814
other,0.027,24,0.96,1.0,0.9795918367346939,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.6666666666666666,0.08333333333333333,0.14814814814814814
other,0.03,24,0.96,1.0,0.9795918367346939,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.6666666666666666,0.08333333333333333,0.14814814814814814
