start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,label
1772620522.506303,1772620542.506303,8,656,0,0,0,0,82.0,1
1772620542.506303,1772620562.506303,1,76,0,0,0,0,76.0,1
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0,1
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0,1
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0,1
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0,1
