start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len
1772622439.713034,1772622449.713034,68,8998,2,2,0,0,132.3235294117647
1772622449.713034,1772622459.713034,66,8224,2,2,0,0,124.60606060606061
1772622459.713034,1772622469.713034,64,8460,2,2,0,0,132.1875
1772622469.713034,1772622479.713034,68,8829,2,2,0,0,129.83823529411765
1772622479.713034,1772622489.713034,65,8343,2,2,0,0,128.35384615384615
1772622489.713034,1772622499.713034,62,7967,2,2,0,0,128.5
1772622499.713034,1772622509.713034,26,3435,2,2,0,0,132.1153846153846
