start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len
1772620522.506303,1772620542.506303,8,656,0,0,0,0,82.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620263.090321,1772620283.090321,0,0,0,0,0,0,0.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772619643.090321,1772619663.090321,0,0,0,0,0,0,0.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772620323.090321,1772620343.090321,0,0,0,0,0,0,0.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772619863.090321,1772619883.090321,0,0,0,0,0,0,0.0
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0
1772620183.090321,1772620203.090321,6,288,0,0,0,0,48.0
1772620363.090321,1772620383.090321,3,144,0,0,0,0,48.0
1772619663.090321,1772619683.090321,0,0,0,0,0,0,0.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772619583.090321,1772619603.090321,0,0,0,0,0,0,0.0
1772619503.090321,1772619523.090321,1,76,0,0,0,0,76.0
1772619803.090321,1772619823.090321,0,0,0,0,0,0,0.0
1772620343.090321,1772620363.090321,0,0,0,0,0,0,0.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620023.090321,1772620043.090321,3,144,0,0,0,0,48.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772619743.090321,1772619763.090321,6,288,0,0,0,0,48.0
1772619543.090321,1772619563.090321,4,220,0,0,0,0,55.0
1772620163.090321,1772620183.090321,0,0,0,0,0,0,0.0
1772619723.090321,1772619743.090321,4,220,0,0,0,0,55.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620283.090321,1772620303.090321,0,0,0,0,0,0,0.0
1772619763.090321,1772619783.090321,3,144,0,0,0,0,48.0
1772619843.090321,1772619863.090321,3,144,0,0,0,0,48.0
1772620123.090321,1772620143.090321,0,0,0,0,0,0,0.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772619623.090321,1772619643.090321,0,0,0,0,0,0,0.0
1772620522.506303,1772620542.506303,8,656,0,0,0,0,82.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772620542.506303,1772620562.506303,1,76,0,0,0,0,76.0
1772620243.090321,1772620263.090321,0,0,0,0,0,0,0.0
1772620063.090321,1772620083.090321,0,0,0,0,0,0,0.0
1772620223.090321,1772620243.090321,3,144,0,0,0,0,48.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772619783.090321,1772619803.090321,3,144,0,0,0,0,48.0
1772620003.090321,1772620023.090321,3,144,0,0,0,0,48.0
1772620542.506303,1772620562.506303,1,76,0,0,0,0,76.0
1772619603.090321,1772619623.090321,1,76,0,0,0,0,76.0
