start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772631728.040578,1772631738.040578,64,8350,2,2,0,0,130.46875,64,8350,58.46875,2
1772631738.040578,1772631748.040578,66,8731,2,2,0,0,132.28787878787878,66,8731,60.28787878787879,2
1772631748.040578,1772631758.040578,64,8458,2,2,0,0,132.15625,64,8458,60.15625,2
1772631758.040578,1772631768.040578,60,7938,2,2,0,0,132.3,60,7938,60.3,2
1772631768.040578,1772631778.040578,66,8569,2,2,0,0,129.83333333333334,64,8473,60.390625,2
1772631778.040578,1772631788.040578,62,8196,2,2,0,0,132.19354838709677,62,8196,60.193548387096776,2
1772631788.040578,1772631798.040578,62,8201,2,2,0,0,132.2741935483871,62,8201,60.274193548387096,2
1772631798.040578,1772631808.040578,68,8825,2,2,0,0,129.77941176470588,66,8729,60.25757575757576,2
1772631808.040578,1772631818.040578,64,8462,2,2,0,0,132.21875,64,8462,60.21875,2
1772631818.040578,1772631828.040578,60,7938,2,2,0,0,132.3,60,7938,60.3,2
1772631828.040578,1772631838.040578,64,8474,2,2,0,0,132.40625,64,8474,60.40625,2
1772631838.040578,1772631848.040578,64,8293,2,2,0,0,129.578125,62,8197,60.20967741935484,2
1772631848.040578,1772631858.040578,22,2914,2,2,0,0,132.45454545454547,22,2914,60.45454545454545,2
