start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772631921.08344,1772631931.08344,70,9083,2,2,0,0,129.75714285714287,68,8987,60.161764705882355,2
1772631931.08344,1772631941.08344,62,8203,2,2,0,0,132.30645161290323,62,8203,60.306451612903224,2
1772631941.08344,1772631951.08344,65,8172,2,2,0,0,125.72307692307692,60,7932,60.2,2
1772631951.08344,1772631961.08344,73,9395,2,2,0,0,128.6986301369863,70,9251,60.15714285714286,2
1772631961.08344,1772631971.08344,56,7415,2,2,0,0,132.41071428571428,56,7415,60.410714285714285,2
1772631971.08344,1772631981.08344,66,8443,2,2,0,0,127.92424242424242,64,8347,58.421875,2
1772631981.08344,1772631991.08344,32,4225,2,2,0,0,132.03125,32,4225,60.03125,2
