start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1773067496.427036,1773067499.427036,30,3625,2,2,0,0,120.83333333333333,13,1561,120.07692307692308,1
1773067499.427036,1773067502.427036,17,2166,2,2,0,0,127.41176470588235,8,966,120.75,1
1773067502.427036,1773067505.427036,18,2381,2,2,0,0,132.27777777777777,9,1085,120.55555555555556,1
1773067505.427036,1773067508.427036,18,2378,2,2,0,0,132.11111111111111,9,1082,120.22222222222223,1
1773067508.427036,1773067511.427036,24,3168,2,2,0,0,132.0,12,1440,120.0,1
1773067511.427036,1773067514.427036,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1773067514.427036,1773067517.427036,20,2650,2,2,0,0,132.5,10,1210,121.0,1
1773067517.427036,1773067520.427036,14,1855,2,2,0,0,132.5,7,847,121.0,1
1773067520.427036,1773067523.427036,28,3531,2,2,0,0,126.10714285714286,13,1563,120.23076923076923,1
1773067523.427036,1773067526.427036,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1773067526.427036,1773067529.427036,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1773067529.427036,1773067532.427036,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1773067532.427036,1773067535.427036,24,3168,2,2,0,0,132.0,12,1440,120.0,1
1773067535.427036,1773067538.427036,18,2379,2,2,0,0,132.16666666666666,9,1083,120.33333333333333,1
1773067538.427036,1773067541.427036,18,2384,2,2,0,0,132.44444444444446,9,1088,120.88888888888889,1
1773067541.427036,1773067544.427036,20,2311,2,2,0,0,115.55,8,967,120.875,1
1773067544.427036,1773067547.427036,30,3625,2,2,0,0,120.83333333333333,13,1561,120.07692307692308,1
1773067547.427036,1773067550.427036,14,1855,2,2,0,0,132.5,7,847,121.0,1
1773067550.427036,1773067553.427036,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1773067553.427036,1773067556.427036,14,1853,2,2,0,0,132.35714285714286,7,845,120.71428571428571,1
